"air_temperature","sea_temperature","station"
6.943,8.881,M2
7.09,8.917,M2
7.236,8.958,M2
7.09,8.958,M2
7.285,8.958,M2
7.48,8.897,M2
7.627,8.787,M2
8.164,8.818,M2
9.043,8.699,M2
8.75,8.813,M2
8.896,8.976,M2
9.141,9.0,M2
9.238,8.945,M2
9.141,8.763,M2
9.971,8.701,M2
10.313,8.996,M2
10.313,9.095,M2
10.361,9.137,M2
10.752,9.192,M2
10.068,9.148,M2
10.02,9.194,M2
9.971,9.159,M2
10.117,9.111,M2
10.215,8.729,M2
10.508,8.688,M2
10.459,8.661,M2
10.703,8.683,M2
10.996,8.912,M2
10.068,9.038,M2
9.873,9.029,M2
10.41,9.012,M2
9.873,9.009,M2
10.215,9.007,M2
9.873,8.992,M2
9.531,8.965,M2
9.678,8.914,M2
10.117,8.769,M2
10.117,8.707,M2
10.068,8.857,M2
10.313,8.963,M2
10.117,9.095,M2
10.068,9.236,M2
9.873,9.045,M2
9.775,9.179,M2
10.117,9.338,M2
10.117,9.315,M2
10.068,9.227,M2
10.068,8.914,M2
9.971,8.829,M2
9.678,8.817,M2
9.678,8.881,M2
9.971,8.963,M2
9.873,9.031,M2
9.873,9.078,M2
9.922,9.078,M2
9.922,9.067,M2
9.824,9.055,M2
9.678,8.99,M2
9.336,8.95,M2
9.385,8.877,M2
9.775,8.8,M2
9.922,8.782,M2
9.922,8.859,M2
10.361,9.126,M2
11.338,9.124,M2
14.121,9.238,M2
12.51,9.556,M2
10.215,9.28,M2
9.971,9.463,M2
10.068,9.32,M2
9.629,9.586,M2
9.336,8.941,M2
9.287,8.87,M2
9.58,8.796,M2
9.678,8.824,M2
9.727,8.925,M2
9.775,8.99,M2
9.482,8.994,M2
9.287,9.001,M2
9.238,9.055,M2
9.238,8.987,M2
9.385,8.93,M2
9.385,9.0,M2
9.043,8.932,M2
9.189,8.917,M2
9.434,8.925,M2
10.117,9.067,M2
10.117,9.201,M2
9.922,9.174,M2
10.898,9.283,M2
10.996,9.353,M2
9.873,9.3,M2
9.434,9.278,M2
9.434,9.606,M2
9.482,9.512,M2
9.336,9.199,M2
9.775,9.009,M2
9.678,8.945,M2
9.287,8.915,M2
9.189,8.969,M2
9.238,9.038,M2
9.238,9.082,M2
8.994,9.022,M2
9.092,8.979,M2
9.189,8.969,M2
9.238,9.033,M2
9.434,8.985,M2
9.434,8.994,M2
9.531,9.06,M2
9.775,9.102,M2
10.459,9.249,M2
10.313,9.527,M2
10.068,9.322,M2
10.068,9.382,M2
10.02,9.296,M2
10.117,9.565,M2
9.873,9.141,M2
9.971,9.089,M2
10.264,9.034,M2
9.922,9.119,M2
10.068,9.115,M2
9.971,9.13,M2
9.824,9.144,M2
9.775,9.174,M2
10.02,9.135,M2
9.58,9.113,M2
9.678,9.029,M2
9.727,9.131,M2
9.531,9.025,M2
9.434,8.952,M2
9.385,9.001,M2
9.092,9.1,M2
8.994,9.102,M2
9.141,9.08,M2
9.287,9.122,M2
9.531,9.216,M2
9.58,9.245,M2
9.775,9.386,M2
9.629,9.218,M2
9.727,9.219,M2
9.531,9.287,M2
9.434,9.291,M2
9.385,9.419,M2
9.482,9.318,M2
9.482,9.278,M2
9.336,9.236,M2
9.238,9.082,M2
8.994,9.247,M2
9.336,9.216,M2
9.092,9.088,M2
8.994,9.067,M2
8.701,9.221,M2
8.945,9.053,M2
8.945,9.221,M2
9.092,9.256,M2
9.238,9.324,M2
9.385,9.221,M2
9.58,9.553,M2
9.141,9.765,M2
8.311,9.587,M2
8.506,9.712,M2
8.604,9.708,M2
8.115,9.545,M2
8.652,9.282,M2
8.359,9.183,M2
8.75,9.28,M2
8.701,9.225,M2
8.652,9.221,M2
8.701,9.254,M2
8.994,9.293,M2
8.994,9.119,M2
8.896,9.1,M2
8.652,9.104,M2
8.994,9.106,M2
8.701,9.109,M2
8.848,9.064,M2
9.092,9.124,M2
9.336,9.163,M2
8.262,9.157,M2
7.871,9.159,M2
8.701,9.276,M2
9.043,9.472,M2
9.043,9.366,M2
9.141,9.445,M2
9.385,9.468,M2
9.434,9.452,M2
9.385,9.249,M2
9.238,9.071,M2
9.043,9.234,M2
8.994,9.223,M2
8.994,9.153,M2
8.945,9.1,M2
8.848,9.071,M2
9.043,9.245,M2
9.092,9.168,M2
8.994,9.095,M2
9.043,9.104,M2
8.848,9.078,M2
8.652,9.088,M2
7.383,9.08,M2
7.383,9.086,M2
7.334,9.089,M2
7.285,9.102,M2
6.602,9.099,M2
6.699,9.12,M2
6.26,9.102,M2
6.162,9.139,M2
6.406,9.109,M2
6.553,9.097,M2
5.869,9.082,M2
5.723,9.066,M2
