"temperature","feels_like","humidity","time","location"
20.0,19.57,58.0,"2021-01-01 13:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 13:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 13:30:00",Guest Room
26.0,26.89,59.0,"2021-01-01 13:30:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 13:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 13:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 13:45:00",Guest Room
26.0,26.89,59.0,"2021-01-01 13:45:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 14:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 14:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 14:00:00",Guest Room
26.0,26.89,59.0,"2021-01-01 14:00:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 14:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 14:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 14:15:00",Guest Room
26.0,26.89,59.0,"2021-01-01 14:15:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 14:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 14:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 14:30:00",Guest Room
26.0,26.89,59.0,"2021-01-01 14:30:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 14:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 14:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 14:45:00",Guest Room
26.0,26.89,59.0,"2021-01-01 14:45:00",Fernanda's Room
20.0,19.57,58.0,"2021-01-01 15:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 15:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 15:00:00",Guest Room
26.0,26.85,58.0,"2021-01-01 15:00:00",Fernanda's Room
20.0,19.54,57.0,"2021-01-01 15:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 15:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 15:15:00",Guest Room
26.0,26.89,59.0,"2021-01-01 15:15:00",Fernanda's Room
20.0,19.52,56.0,"2021-01-01 15:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 15:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 15:30:00",Guest Room
26.0,26.85,58.0,"2021-01-01 15:30:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 15:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 15:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 15:45:00",Guest Room
26.0,26.82,57.0,"2021-01-01 15:45:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 16:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 16:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 16:00:00",Guest Room
26.0,26.82,57.0,"2021-01-01 16:00:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 16:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 16:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 16:15:00",Guest Room
26.0,26.82,57.0,"2021-01-01 16:15:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 16:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 16:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 16:30:00",Guest Room
26.0,26.82,57.0,"2021-01-01 16:30:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 16:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 16:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 16:45:00",Guest Room
26.0,26.82,57.0,"2021-01-01 16:45:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 17:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 17:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 17:00:00",Guest Room
25.0,25.04,57.0,"2021-01-01 17:00:00",Fernanda's Room
20.0,19.49,55.0,"2021-01-01 17:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 17:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 17:15:00",Guest Room
26.0,26.85,58.0,"2021-01-01 17:15:00",Fernanda's Room
21.0,20.64,57.0,"2021-01-01 17:30:00",Master Room
21.0,19.6,17.0,"2021-01-01 17:30:00",Kids Room
22.0,20.7,17.0,"2021-01-01 17:30:00",Guest Room
26.0,26.85,58.0,"2021-01-01 17:30:00",Fernanda's Room
21.0,20.64,57.0,"2021-01-01 17:45:00",Master Room
21.0,19.6,17.0,"2021-01-01 17:45:00",Kids Room
22.0,20.7,17.0,"2021-01-01 17:45:00",Guest Room
26.0,26.85,58.0,"2021-01-01 17:45:00",Fernanda's Room
21.0,20.64,57.0,"2021-01-01 18:00:00",Master Room
21.0,19.6,17.0,"2021-01-01 18:00:00",Kids Room
22.0,20.7,17.0,"2021-01-01 18:00:00",Guest Room
26.0,26.93,60.0,"2021-01-01 18:00:00",Fernanda's Room
21.0,20.64,57.0,"2021-01-01 18:15:00",Master Room
21.0,19.6,17.0,"2021-01-01 18:15:00",Kids Room
22.0,20.7,17.0,"2021-01-01 18:15:00",Guest Room
